UserID,avg_rating,rating_std,total_ratings,min_rating,max_rating,rating_2_count,rating_3_count,rating_4_count,rating_5_count,avg_time_spent,time_spent_std,total_time_spent,max_time_spent,session_count,total_likes,total_shares,total_comments,like_rate,share_rate,comment_rate,num_preferred_industries,unique_industries_explored,browse_diversity_score,prefers_large_corp,prefers_startup,prefers_bulk_orders,prefers_sea_freight,receives_alerts
1000,4.238,0.889,80.0,2.0,5.0,4.0,12.0,25.0,39.0,50.0,26.748,4000.003,137.846,80.0,24.0,10.0,3.0,0.3,0.125,0.038,3,6,2.0,1,0,0,0,1
1001,4.68,0.469,103.0,4.0,5.0,0.0,0.0,33.0,70.0,62.712,33.96,6459.334,212.743,103.0,24.0,10.0,10.0,0.233,0.097,0.097,3,3,1.0,0,1,1,1,0
1002,4.289,0.877,83.0,2.0,5.0,3.0,14.0,22.0,44.0,55.841,42.776,4634.842,300.0,83.0,21.0,6.0,5.0,0.253,0.072,0.06,1,6,6.0,0,0,0,0,1
1003,4.714,0.458,35.0,4.0,5.0,0.0,0.0,10.0,25.0,62.859,30.876,2200.067,158.621,35.0,11.0,6.0,2.0,0.314,0.171,0.057,3,2,0.6666666666666666,0,1,0,0,1
1004,4.624,0.555,141.0,3.0,5.0,0.0,5.0,43.0,93.0,62.677,31.812,8837.448,163.188,141.0,29.0,16.0,8.0,0.206,0.113,0.057,3,6,2.0,0,0,0,1,1
1005,3.966,0.935,89.0,2.0,5.0,6.0,22.0,30.0,31.0,45.082,35.239,4012.276,254.536,89.0,20.0,10.0,2.0,0.225,0.112,0.022,1,6,6.0,0,0,1,0,1
1006,4.176,1.007,68.0,2.0,5.0,7.0,8.0,19.0,34.0,50.433,32.449,3429.44,169.923,68.0,23.0,9.0,0.0,0.338,0.132,0.0,1,6,6.0,0,0,0,0,0
1007,4.354,0.761,127.0,2.0,5.0,4.0,10.0,50.0,63.0,58.349,33.925,7410.368,185.467,127.0,40.0,11.0,6.0,0.315,0.087,0.047,2,6,3.0,0,0,0,0,1
1008,4.767,0.427,43.0,4.0,5.0,0.0,0.0,10.0,33.0,62.955,40.101,2707.063,203.607,43.0,15.0,4.0,3.0,0.349,0.093,0.07,1,1,1.0,0,1,0,0,0
1009,3.769,1.017,104.0,2.0,5.0,12.0,32.0,28.0,32.0,47.027,31.613,4890.804,172.337,104.0,20.0,8.0,4.0,0.192,0.077,0.038,1,6,6.0,0,0,1,0,0
1010,4.113,0.876,142.0,2.0,5.0,6.0,29.0,50.0,57.0,57.317,33.968,8138.974,193.15,142.0,34.0,20.0,6.0,0.239,0.141,0.042,3,6,2.0,0,0,0,0,0
1011,4.703,0.46,64.0,4.0,5.0,0.0,0.0,19.0,45.0,62.487,30.373,3999.193,159.355,64.0,18.0,8.0,3.0,0.281,0.125,0.047,2,2,1.0,0,1,0,0,0
1012,4.076,0.867,92.0,2.0,5.0,3.0,22.0,32.0,35.0,58.092,36.88,5344.458,181.582,92.0,13.0,14.0,6.0,0.141,0.152,0.065,1,6,6.0,0,0,0,1,1
1013,4.405,0.835,111.0,2.0,5.0,6.0,7.0,34.0,64.0,56.32,34.458,6251.536,198.315,111.0,34.0,5.0,7.0,0.306,0.045,0.063,1,6,6.0,0,0,0,0,1
1014,4.47,0.684,66.0,3.0,5.0,0.0,7.0,21.0,38.0,57.065,30.612,3766.258,189.9,66.0,19.0,7.0,4.0,0.288,0.106,0.061,3,5,1.6666666666666667,1,0,0,0,1
1015,3.988,1.012,82.0,2.0,5.0,8.0,18.0,23.0,33.0,50.884,34.601,4172.5,160.558,82.0,21.0,8.0,3.0,0.256,0.098,0.037,1,6,6.0,0,0,0,0,0
1016,4.411,0.86,90.0,2.0,5.0,5.0,7.0,24.0,54.0,61.006,36.11,5490.511,200.505,90.0,27.0,14.0,0.0,0.3,0.156,0.0,2,6,3.0,0,0,0,0,1
1017,3.974,1.0,77.0,2.0,5.0,9.0,12.0,28.0,28.0,46.142,29.546,3552.942,140.091,77.0,19.0,4.0,1.0,0.247,0.052,0.013,2,6,3.0,0,0,1,0,1
1018,3.835,1.124,97.0,2.0,5.0,17.0,19.0,24.0,37.0,49.343,37.4,4786.317,224.947,97.0,19.0,10.0,1.0,0.196,0.103,0.01,1,6,6.0,0,0,1,0,0
1019,4.143,0.879,112.0,2.0,5.0,4.0,24.0,36.0,48.0,53.824,31.293,6028.291,143.95,112.0,22.0,12.0,2.0,0.196,0.107,0.018,1,6,6.0,0,0,0,0,1
1020,4.209,0.912,187.0,2.0,5.0,10.0,32.0,54.0,91.0,54.497,35.75,10190.956,262.139,187.0,52.0,9.0,11.0,0.278,0.048,0.059,1,6,6.0,0,0,1,0,1
1021,4.13,0.991,77.0,2.0,5.0,8.0,9.0,25.0,35.0,48.923,28.372,3767.074,173.434,77.0,22.0,5.0,6.0,0.286,0.065,0.078,2,5,2.5,1,0,1,0,1
1022,4.636,0.539,140.0,3.0,5.0,0.0,4.0,43.0,93.0,58.695,30.762,8217.254,182.419,140.0,36.0,11.0,7.0,0.257,0.079,0.05,3,6,2.0,0,0,0,0,0
1023,4.643,0.497,14.0,4.0,5.0,0.0,0.0,5.0,9.0,60.873,31.709,852.217,156.001,14.0,2.0,0.0,0.0,0.143,0.0,0.0,1,1,1.0,0,1,1,0,0
1024,4.244,0.934,135.0,2.0,5.0,9.0,19.0,37.0,70.0,55.817,34.882,7535.356,258.516,135.0,34.0,11.0,6.0,0.252,0.081,0.044,3,6,2.0,0,0,0,0,0
1025,4.064,0.942,47.0,2.0,5.0,3.0,10.0,15.0,19.0,44.037,29.273,2069.76,126.056,47.0,9.0,4.0,4.0,0.191,0.085,0.085,2,6,3.0,1,0,0,1,0
1026,4.318,0.885,132.0,2.0,5.0,8.0,13.0,40.0,71.0,58.434,39.255,7713.284,242.895,132.0,38.0,15.0,4.0,0.288,0.114,0.03,3,6,2.0,0,0,1,1,0
1027,4.702,0.462,47.0,4.0,5.0,0.0,0.0,14.0,33.0,65.839,41.367,3094.456,202.43,47.0,18.0,9.0,0.0,0.383,0.191,0.0,3,2,0.6666666666666666,0,1,0,0,0
1028,4.625,0.5,16.0,4.0,5.0,0.0,0.0,6.0,10.0,51.698,24.682,827.169,101.364,16.0,5.0,2.0,2.0,0.312,0.125,0.125,1,1,1.0,0,1,0,0,0
1029,4.696,0.464,56.0,4.0,5.0,0.0,0.0,17.0,39.0,63.452,27.828,3553.301,134.916,56.0,21.0,3.0,5.0,0.375,0.054,0.089,1,1,1.0,0,1,0,0,0
1030,3.681,0.978,69.0,2.0,5.0,9.0,20.0,24.0,16.0,45.279,27.747,3124.272,119.308,69.0,12.0,4.0,0.0,0.174,0.058,0.0,1,6,6.0,0,0,1,0,0
1031,4.276,0.933,58.0,2.0,5.0,4.0,7.0,16.0,31.0,54.914,32.418,3185.007,147.456,58.0,12.0,8.0,5.0,0.207,0.138,0.086,2,5,2.5,1,0,0,1,1
1032,4.103,1.003,58.0,2.0,5.0,5.0,11.0,15.0,27.0,52.618,35.422,3051.842,166.637,58.0,15.0,3.0,3.0,0.259,0.052,0.052,1,5,5.0,1,0,1,0,0
1033,4.128,0.917,78.0,2.0,5.0,4.0,16.0,24.0,34.0,48.082,38.359,3750.431,300.0,78.0,18.0,9.0,5.0,0.231,0.115,0.064,1,5,5.0,1,0,1,0,1
1034,4.32,0.824,153.0,2.0,5.0,6.0,17.0,52.0,78.0,52.123,31.263,7974.825,182.334,153.0,36.0,12.0,12.0,0.235,0.078,0.078,1,6,6.0,0,0,1,0,1
