country,founded,id,industry,linkedin_url,locality,name,region,size,website
egypt,2017,egypt_0,it services,linkedin.com/company/egypt-co-0,alexandria,Egyptian Company 0,luxor governorate,201-500,company0.eg
egypt,1997,egypt_1,agriculture,linkedin.com/company/egypt-co-1,giza,Egyptian Company 1,port said governorate,1-10,company1.eg
egypt,2004,egypt_2,tourism,linkedin.com/company/egypt-co-2,port said,Egyptian Company 2,cairo governorate,201-500,company2.eg
egypt,2013,egypt_3,tourism,linkedin.com/company/egypt-co-3,alexandria,Egyptian Company 3,cairo governorate,11-50,company3.eg
egypt,2006,egypt_4,tourism,linkedin.com/company/egypt-co-4,port said,Egyptian Company 4,port said governorate,201-500,company4.eg
egypt,2006,egypt_5,tourism,linkedin.com/company/egypt-co-5,cairo,Egyptian Company 5,giza governorate,201-500,company5.eg
egypt,2004,egypt_6,textiles,linkedin.com/company/egypt-co-6,alexandria,Egyptian Company 6,luxor governorate,201-500,company6.eg
egypt,1994,egypt_7,electronics,linkedin.com/company/egypt-co-7,port said,Egyptian Company 7,cairo governorate,11-50,company7.eg
egypt,2022,egypt_8,agriculture,linkedin.com/company/egypt-co-8,port said,Egyptian Company 8,port said governorate,201-500,company8.eg
egypt,2014,egypt_9,textiles,linkedin.com/company/egypt-co-9,luxor,Egyptian Company 9,port said governorate,11-50,company9.eg
egypt,1993,egypt_10,textiles,linkedin.com/company/egypt-co-10,giza,Egyptian Company 10,giza governorate,1-10,company10.eg
egypt,2012,egypt_11,agriculture,linkedin.com/company/egypt-co-11,port said,Egyptian Company 11,cairo governorate,11-50,company11.eg
egypt,2022,egypt_12,agriculture,linkedin.com/company/egypt-co-12,giza,Egyptian Company 12,cairo governorate,1-10,company12.eg
egypt,2004,egypt_13,electronics,linkedin.com/company/egypt-co-13,alexandria,Egyptian Company 13,giza governorate,51-200,company13.eg
egypt,2008,egypt_14,textiles,linkedin.com/company/egypt-co-14,giza,Egyptian Company 14,port said governorate,11-50,company14.eg
egypt,2001,egypt_15,electronics,linkedin.com/company/egypt-co-15,cairo,Egyptian Company 15,giza governorate,11-50,company15.eg
egypt,1998,egypt_16,it services,linkedin.com/company/egypt-co-16,giza,Egyptian Company 16,alexandria governorate,1-10,company16.eg
egypt,1996,egypt_17,construction,linkedin.com/company/egypt-co-17,cairo,Egyptian Company 17,luxor governorate,201-500,company17.eg
egypt,2019,egypt_18,tourism,linkedin.com/company/egypt-co-18,cairo,Egyptian Company 18,alexandria governorate,51-200,company18.eg
egypt,1992,egypt_19,tourism,linkedin.com/company/egypt-co-19,luxor,Egyptian Company 19,port said governorate,1-10,company19.eg
egypt,1992,egypt_20,it services,linkedin.com/company/egypt-co-20,cairo,Egyptian Company 20,alexandria governorate,51-200,company20.eg
egypt,2019,egypt_21,it services,linkedin.com/company/egypt-co-21,port said,Egyptian Company 21,giza governorate,1-10,company21.eg
egypt,2019,egypt_22,electronics,linkedin.com/company/egypt-co-22,cairo,Egyptian Company 22,giza governorate,11-50,company22.eg
egypt,1997,egypt_23,it services,linkedin.com/company/egypt-co-23,giza,Egyptian Company 23,port said governorate,51-200,company23.eg
egypt,2014,egypt_24,construction,linkedin.com/company/egypt-co-24,cairo,Egyptian Company 24,port said governorate,51-200,company24.eg
egypt,2007,egypt_25,tourism,linkedin.com/company/egypt-co-25,cairo,Egyptian Company 25,port said governorate,51-200,company25.eg
egypt,2005,egypt_26,construction,linkedin.com/company/egypt-co-26,cairo,Egyptian Company 26,cairo governorate,51-200,company26.eg
egypt,1998,egypt_27,it services,linkedin.com/company/egypt-co-27,cairo,Egyptian Company 27,port said governorate,1-10,company27.eg
