UserID,PreferredIndustries,PreferredSupplierType,PreferredOrderQuantity,PreferredShippingMethod,ReceiveAlerts,RegistrationDate
1000,"Petroleum & Energy,Handicrafts & Furniture,Agriculture & Food",Large Corporations,Medium orders,Land Transport,True,2024-07-20 13:48:23.057520
1001,"Electronics,Handicrafts & Furniture,Agriculture & Food",Startups,Bulk orders,Sea Freight,False,2024-12-06 13:48:23.057827
1002,Chemicals & Fertilizers,Small Businesses,Small orders,Land Transport,True,2024-12-28 13:48:23.058013
1003,"Agriculture & Food,Petroleum & Energy,Textiles & Garments",Startups,Small orders,Land Transport,True,2024-08-13 13:48:23.058204
1004,"Chemicals & Fertilizers,Electronics,Handicrafts & Furniture",Medium Enterprises,Medium orders,Sea Freight,True,2024-07-05 13:48:23.058368
1005,Agriculture & Food,Small Businesses,Bulk orders,Land Transport,True,2024-11-22 13:48:23.058523
1006,Agriculture & Food,Medium Enterprises,Medium orders,Express Delivery,False,2024-12-07 13:48:23.058678
1007,"Agriculture & Food,Chemicals & Fertilizers",Medium Enterprises,Large orders,Express Delivery,True,2024-11-13 13:48:23.058838
1008,Construction & Building Materials,Startups,Medium orders,Air Freight,False,2024-12-10 13:48:23.058999
1009,Petroleum & Energy,Small Businesses,Bulk orders,Air Freight,False,2025-01-31 13:48:23.059152
1010,"Petroleum & Energy,Textiles & Garments,Handicrafts & Furniture",Small Businesses,Large orders,Air Freight,False,2024-10-28 13:48:23.059305
1011,"Chemicals & Fertilizers,Textiles & Garments",Startups,Large orders,Land Transport,False,2024-11-12 13:48:23.059454
1012,Petroleum & Energy,Small Businesses,Large orders,Sea Freight,True,2024-10-02 13:48:23.059607
1013,Electronics,Medium Enterprises,Medium orders,Express Delivery,True,2024-12-19 13:48:23.059759
1014,"Chemicals & Fertilizers,Textiles & Garments,Petroleum & Energy",Large Corporations,Large orders,Air Freight,True,2024-12-27 13:48:23.059913
1015,Agriculture & Food,Medium Enterprises,Medium orders,Air Freight,False,2025-02-02 13:48:23.060063
1016,"Textiles & Garments,Construction & Building Materials",Medium Enterprises,Small orders,Air Freight,True,2024-09-06 13:48:23.060215
1017,"Petroleum & Energy,Handicrafts & Furniture",Medium Enterprises,Bulk orders,Land Transport,True,2024-08-02 13:48:23.060373
1018,Textiles & Garments,Medium Enterprises,Bulk orders,Express Delivery,False,2024-10-26 13:48:23.060526
1019,Chemicals & Fertilizers,Medium Enterprises,Large orders,Air Freight,True,2025-02-23 13:48:23.060679
1020,Electronics,Small Businesses,Bulk orders,Air Freight,True,2025-02-10 13:48:23.060829
1021,"Agriculture & Food,Chemicals & Fertilizers",Large Corporations,Bulk orders,Land Transport,True,2024-12-14 13:48:23.060986
1022,"Electronics,Chemicals & Fertilizers,Petroleum & Energy",Medium Enterprises,Large orders,Land Transport,False,2025-01-23 13:48:23.061136
1023,Handicrafts & Furniture,Startups,Bulk orders,Land Transport,False,2024-07-05 13:48:23.061283
1024,"Agriculture & Food,Petroleum & Energy,Handicrafts & Furniture",Small Businesses,Small orders,Express Delivery,False,2025-05-08 13:48:23.061429
1025,"Handicrafts & Furniture,Petroleum & Energy",Large Corporations,Large orders,Sea Freight,False,2025-03-09 13:48:23.061580
1026,"Chemicals & Fertilizers,Handicrafts & Furniture,Textiles & Garments",Small Businesses,Bulk orders,Sea Freight,False,2025-05-10 13:48:23.061734
1027,"Textiles & Garments,Petroleum & Energy,Construction & Building Materials",Startups,Large orders,Express Delivery,False,2025-04-23 13:48:23.061888
1028,Textiles & Garments,Startups,Medium orders,Land Transport,False,2025-03-09 13:48:23.062034
