UserID,Age,City,Occupation,PrimaryInterests,BudgetRange,PreferredSupplierType,JoinedDate,IsActive
user_1,18-25,Aswan,Doctor,"Agriculture & Food,Manufacturing,Education,Energy & Utilities",500K+ EGP,Small Businesses,2025-06-16,True
user_2,26-35,Port Said,Engineer,"Tourism & Hospitality,Retail & Commerce,Agriculture & Food,Financial Services",10K-50K EGP,Any Size,2025-06-16,True
user_3,36-45,Cairo,Entrepreneur,"Financial Services,Energy & Utilities,Transportation & Logistics",100K-500K EGP,Large Corporations,2025-06-16,False
user_4,36-45,Luxor,Engineer,"Healthcare & Pharmaceuticals,Retail & Commerce,Transportation & Logistics",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_5,18-25,Port Said,Marketing,"Education,Financial Services",10K-50K EGP,Any Size,2025-06-16,True
user_6,36-45,Tanta,Business Owner,"Transportation & Logistics,Energy & Utilities,Retail & Commerce,Financial Services",100K-500K EGP,Any Size,2025-06-16,False
user_7,18-25,Port Said,Engineer,"Textiles & Garments,Education,Manufacturing",10K-50K EGP,Small Businesses,2025-06-16,True
user_8,46-55,Suez,Doctor,"Retail & Commerce,Technology",10K-50K EGP,Large Corporations,2025-06-16,False
user_9,46-55,Damanhur,Engineer,"Textiles & Garments,Education,Healthcare & Pharmaceuticals,Financial Services",100K-500K EGP,Small Businesses,2025-06-16,True
user_10,36-45,Cairo,Other,"Technology,Transportation & Logistics",500K+ EGP,Large Corporations,2025-06-16,True
user_11,18-25,Suez,Doctor,"Energy & Utilities,Tourism & Hospitality",500K+ EGP,Medium Enterprises,2025-06-16,False
user_12,18-25,Port Said,Engineer,"Financial Services,Energy & Utilities,Textiles & Garments",<10K EGP,Any Size,2025-06-16,True
user_13,18-25,Ismailia,Doctor,"Retail & Commerce,Construction & Real Estate,Education,Tourism & Hospitality",50K-100K EGP,Small Businesses,2025-06-16,True
user_14,56+,Damanhur,Other,"Technology,Textiles & Garments",<10K EGP,Small Businesses,2025-06-16,True
user_15,36-45,Alexandria,Student,"Financial Services,Energy & Utilities",10K-50K EGP,Medium Enterprises,2025-06-16,False
user_16,56+,Ismailia,Student,"Manufacturing,Retail & Commerce,Technology,Financial Services",50K-100K EGP,Large Corporations,2025-06-16,False
user_17,26-35,Port Said,Marketing,"Transportation & Logistics,Energy & Utilities,Technology",50K-100K EGP,Medium Enterprises,2025-06-16,False
user_18,56+,Damanhur,Entrepreneur,"Financial Services,Agriculture & Food,Technology,Manufacturing",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_19,56+,Tanta,Entrepreneur,"Transportation & Logistics,Textiles & Garments,Energy & Utilities",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_20,36-45,Alexandria,Manager,"Tourism & Hospitality,Retail & Commerce,Healthcare & Pharmaceuticals",500K+ EGP,Large Corporations,2025-06-16,True
user_21,18-25,Port Said,Engineer,"Education,Transportation & Logistics,Healthcare & Pharmaceuticals",50K-100K EGP,Any Size,2025-06-16,True
user_22,36-45,Mansoura,Teacher,"Transportation & Logistics,Education,Tourism & Hospitality,Construction & Real Estate",10K-50K EGP,Small Businesses,2025-06-16,False
user_23,46-55,Giza,Doctor,"Healthcare & Pharmaceuticals,Construction & Real Estate,Energy & Utilities",10K-50K EGP,Any Size,2025-06-16,True
user_24,56+,Ismailia,Student,"Textiles & Garments,Education,Healthcare & Pharmaceuticals",100K-500K EGP,Any Size,2025-06-16,True
user_25,56+,Suez,Marketing,"Healthcare & Pharmaceuticals,Technology",<10K EGP,Any Size,2025-06-16,True
user_26,56+,Damanhur,Sales,"Healthcare & Pharmaceuticals,Transportation & Logistics,Agriculture & Food,Technology",10K-50K EGP,Large Corporations,2025-06-16,False
user_27,26-35,Luxor,Manager,"Education,Technology,Textiles & Garments,Energy & Utilities",<10K EGP,Medium Enterprises,2025-06-16,False
user_28,26-35,Tanta,Manager,"Retail & Commerce,Tourism & Hospitality,Healthcare & Pharmaceuticals",100K-500K EGP,Small Businesses,2025-06-16,True
user_29,18-25,Alexandria,Business Owner,"Energy & Utilities,Construction & Real Estate",10K-50K EGP,Any Size,2025-06-16,True
user_30,36-45,Aswan,Manager,"Construction & Real Estate,Manufacturing",100K-500K EGP,Medium Enterprises,2025-06-16,False
user_31,56+,Tanta,Other,"Manufacturing,Energy & Utilities",<10K EGP,Large Corporations,2025-06-16,False
user_32,46-55,Alexandria,Manager,"Construction & Real Estate,Energy & Utilities,Manufacturing,Retail & Commerce",50K-100K EGP,Any Size,2025-06-16,False
user_33,26-35,Port Said,Marketing,"Technology,Transportation & Logistics,Financial Services",50K-100K EGP,Large Corporations,2025-06-16,False
user_34,46-55,Giza,Entrepreneur,"Energy & Utilities,Textiles & Garments,Agriculture & Food,Retail & Commerce",<10K EGP,Large Corporations,2025-06-16,True
user_35,46-55,Mansoura,Manager,"Education,Transportation & Logistics",500K+ EGP,Any Size,2025-06-16,True
user_36,46-55,Luxor,Teacher,"Financial Services,Tourism & Hospitality",50K-100K EGP,Large Corporations,2025-06-16,True
user_37,26-35,Ismailia,Engineer,"Agriculture & Food,Textiles & Garments",<10K EGP,Any Size,2025-06-16,True
user_38,36-45,Zagazig,Doctor,"Textiles & Garments,Financial Services,Energy & Utilities",500K+ EGP,Any Size,2025-06-16,True
user_39,46-55,Suez,Sales,"Tourism & Hospitality,Education",100K-500K EGP,Large Corporations,2025-06-16,True
user_40,46-55,Luxor,Business Owner,"Construction & Real Estate,Tourism & Hospitality,Healthcare & Pharmaceuticals,Agriculture & Food",50K-100K EGP,Any Size,2025-06-16,True
